"","x","y","z","zscaled","trial","block","monkeyid","scale","envOrder"
"1",1,8,0,5,1,1,4,36,11
"2",1,8,0,5,2,1,4,36,11
"3",2,8,3,7,3,1,4,36,11
"4",3,8,12,14,4,1,4,36,11
"5",4,8,18,18,5,1,4,36,11
"6",5,8,22,21,6,1,4,36,11
"7",6,8,24,22,7,1,4,36,11
"8",7,8,29,26,8,1,4,36,11
"9",8,8,28,25,9,1,4,36,11
"10",1,8,-1,4,10,1,4,36,11
"11",2,8,4,8,11,1,4,36,11
"12",3,8,10,12,12,1,4,36,11
"13",4,8,18,18,13,1,4,36,11
"14",5,8,24,22,14,1,4,36,11
"15",6,8,26,24,15,1,4,36,11
"16",7,8,28,25,16,1,4,36,11
"17",8,8,29,26,17,1,4,36,11
"18",1,8,-2,4,18,1,4,36,11
"19",2,8,6,9,19,1,4,36,11
"20",3,8,12,14,20,1,4,36,11
"21",4,8,18,18,21,1,4,36,11
"22",7,8,27,24,22,1,4,36,11
"23",7,8,28,25,23,1,4,36,11
"24",7,8,26,24,24,1,4,36,11
"25",7,8,27,24,25,1,4,36,11
"26",7,8,28,25,26,1,4,36,11
"27",8,3,50,40,1,2,4,35,30
"28",8,3,51,41,2,2,4,35,30
"29",8,2,45,37,3,2,4,35,30
"30",8,1,38,32,4,2,4,35,30
"31",8,4,49,39,5,2,4,35,30
"32",8,5,42,34,6,2,4,35,30
"33",8,6,34,29,7,2,4,35,30
"34",8,7,20,19,8,2,4,35,30
"35",8,8,11,13,9,2,4,35,30
"36",7,8,13,14,10,2,4,35,30
"37",6,8,13,14,11,2,4,35,30
"38",5,8,13,14,12,2,4,35,30
"39",4,8,14,15,13,2,4,35,30
"40",3,8,13,14,14,2,4,35,30
"41",2,8,15,16,15,2,4,35,30
"42",1,8,15,16,16,2,4,35,30
"43",7,1,35,30,17,2,4,35,30
"44",6,1,35,30,18,2,4,35,30
"45",5,1,35,30,19,2,4,35,30
"46",4,1,34,29,20,2,4,35,30
"47",3,1,31,27,21,2,4,35,30
"48",2,1,20,19,22,2,4,35,30
"49",1,1,8,11,23,2,4,35,30
"50",1,2,5,9,24,2,4,35,30
"51",1,7,7,10,25,2,4,35,30
"52",7,4,43,35,26,2,4,35,30
"53",4,2,29,25,1,3,4,34,25
"54",4,1,43,34,2,3,4,34,25
"55",4,3,17,17,3,3,4,34,25
"56",5,3,20,19,4,3,4,34,25
"57",5,2,29,25,5,3,4,34,25
"58",5,1,42,34,6,3,4,34,25
"59",4,4,13,14,7,3,4,34,25
"60",5,4,13,14,8,3,4,34,25
"61",4,5,14,15,9,3,4,34,25
"62",5,5,11,12,10,3,4,34,25
"63",4,6,19,18,11,3,4,34,25
"64",5,6,13,14,12,3,4,34,25
"65",4,7,21,19,13,3,4,34,25
"66",5,7,14,15,14,3,4,34,25
"67",4,8,21,19,15,3,4,34,25
"68",5,8,15,15,16,3,4,34,25
"69",3,8,25,22,17,3,4,34,25
"70",3,7,25,22,18,3,4,34,25
"71",3,6,21,19,19,3,4,34,25
"72",3,5,18,17,20,3,4,34,25
"73",3,4,16,16,21,3,4,34,25
"74",3,3,20,19,22,3,4,34,25
"75",3,2,29,25,23,3,4,34,25
"76",3,1,44,35,24,3,4,34,25
"77",4,1,41,33,25,3,4,34,25
"78",4,1,42,34,26,3,4,34,25
"79",3,2,22,20,1,4,4,35,18
"80",3,1,11,13,2,4,4,35,18
"81",3,2,20,19,3,4,4,35,18
"82",3,3,36,30,4,4,4,35,18
"83",3,4,44,36,5,4,4,35,18
"84",3,1,9,11,6,4,4,35,18
"85",3,3,34,29,7,4,4,35,18
"86",3,4,44,36,8,4,4,35,18
"87",3,5,48,39,9,4,4,35,18
"88",3,5,49,39,10,4,4,35,18
"89",3,6,50,40,11,4,4,35,18
"90",3,6,50,40,12,4,4,35,18
"91",3,7,43,35,13,4,4,35,18
"92",3,7,46,37,14,4,4,35,18
"93",3,8,43,35,15,4,4,35,18
"94",3,1,11,13,16,4,4,35,18
"95",3,2,22,20,17,4,4,35,18
"96",3,3,35,30,18,4,4,35,18
"97",3,4,45,37,19,4,4,35,18
"98",3,5,50,40,20,4,4,35,18
"99",3,6,50,40,21,4,4,35,18
"100",3,6,48,39,22,4,4,35,18
"101",3,6,50,40,23,4,4,35,18
"102",3,6,49,39,24,4,4,35,18
"103",3,6,47,38,25,4,4,35,18
"104",3,6,50,40,26,4,4,35,18
"105",7,1,3,7,1,5,4,33,2
"106",1,1,29,24,2,5,4,33,2
"107",2,1,20,18,3,5,4,33,2
"108",3,1,14,14,4,5,4,33,2
"109",4,1,9,11,5,5,4,33,2
"110",5,1,4,8,6,5,4,33,2
"111",6,1,3,7,7,5,4,33,2
"112",8,1,5,8,8,5,4,33,2
"113",7,2,1,6,9,5,4,33,2
"114",7,3,2,6,10,5,4,33,2
"115",7,4,7,10,11,5,4,33,2
"116",7,5,10,12,12,5,4,33,2
"117",7,6,20,18,13,5,4,33,2
"118",7,7,26,22,14,5,4,33,2
"119",7,8,30,25,15,5,4,33,2
"120",2,2,17,16,16,5,4,33,2
"121",2,3,17,16,17,5,4,33,2
"122",2,4,26,22,18,5,4,33,2
"123",2,5,32,26,19,5,4,33,2
"124",2,6,41,32,20,5,4,33,2
"125",2,7,46,35,21,5,4,33,2
"126",2,8,46,35,22,5,4,33,2
"127",2,8,47,36,23,5,4,33,2
"128",2,8,47,36,24,5,4,33,2
"129",2,8,44,34,25,5,4,33,2
"130",2,8,47,36,26,5,4,33,2
"131",1,5,17,18,1,6,4,39,16
"132",2,5,13,15,2,6,4,39,16
"133",4,4,8,11,3,6,4,39,16
"134",3,5,10,13,4,6,4,39,16
"135",4,5,13,15,5,6,4,39,16
"136",5,5,20,21,6,6,4,39,16
"137",6,5,29,28,7,6,4,39,16
"138",7,5,41,37,8,6,4,39,16
"139",8,5,50,44,9,6,4,39,16
"140",8,3,47,42,10,6,4,39,16
"141",7,4,38,35,11,6,4,39,16
"142",8,4,47,42,12,6,4,39,16
"143",6,4,27,26,13,6,4,39,16
"144",5,4,15,17,14,6,4,39,16
"145",3,4,6,10,15,6,4,39,16
"146",2,4,8,11,16,6,4,39,16
"147",1,4,13,15,17,6,4,39,16
"148",7,3,35,32,18,6,4,39,16
"149",6,3,24,24,19,6,4,39,16
"150",5,3,10,13,20,6,4,39,16
"151",4,3,4,8,21,6,4,39,16
"152",3,3,0,5,22,6,4,39,16
"153",2,3,2,7,23,6,4,39,16
"154",1,3,8,11,24,6,4,39,16
"155",8,3,47,42,25,6,4,39,16
"156",8,3,48,42,26,6,4,39,16
"157",4,5,22,21,1,7,4,36,6
"158",3,4,23,22,2,7,4,36,6
"159",2,3,25,23,3,7,4,36,6
"160",1,2,31,27,4,7,4,36,6
"161",5,4,32,28,5,7,4,36,6
"162",6,3,39,33,6,7,4,36,6
"163",7,2,39,33,7,7,4,36,6
"164",8,1,37,32,8,7,4,36,6
"165",5,6,21,20,9,7,4,36,6
"166",6,7,20,19,10,7,4,36,6
"167",7,8,21,20,11,7,4,36,6
"168",3,6,9,11,12,7,4,36,6
"169",2,7,1,6,13,7,4,36,6
"170",1,8,-2,4,14,7,4,36,6
"171",8,2,34,29,15,7,4,36,6
"172",8,3,29,26,16,7,4,36,6
"173",8,4,26,24,17,7,4,36,6
"174",8,5,22,21,18,7,4,36,6
"175",8,6,24,22,19,7,4,36,6
"176",8,7,24,22,20,7,4,36,6
"177",8,8,22,21,21,7,4,36,6
"178",6,8,16,17,22,7,4,36,6
"179",5,8,12,14,23,7,4,36,6
"180",4,8,5,9,24,7,4,36,6
"181",3,8,3,7,25,7,4,36,6
"182",2,8,-2,4,26,7,4,36,6
"183",6,7,2,7,1,8,4,39,31
"184",7,8,2,7,2,8,4,39,31
"185",5,6,3,7,3,8,4,39,31
"186",4,5,13,15,4,8,4,39,31
"187",3,4,22,22,5,8,4,39,31
"188",2,3,36,33,6,8,4,39,31
"189",1,2,46,41,7,8,4,39,31
"190",2,1,41,37,8,8,4,39,31
"191",3,2,28,27,9,8,4,39,31
"192",4,3,18,19,10,8,4,39,31
"193",5,4,11,14,11,8,4,39,31
"194",6,5,8,11,12,8,4,39,31
"195",7,6,3,7,13,8,4,39,31
"196",8,7,0,5,14,8,4,39,31
"197",5,8,5,9,15,8,4,39,31
"198",4,7,8,11,16,8,4,39,31
"199",3,6,15,17,17,8,4,39,31
"200",2,5,28,27,18,8,4,39,31
"201",1,4,41,37,19,8,4,39,31
"202",4,1,20,21,20,8,4,39,31
"203",5,2,15,17,21,8,4,39,31
"204",6,3,13,15,22,8,4,39,31
"205",7,4,9,12,23,8,4,39,31
"206",8,5,11,14,24,8,4,39,31
"207",1,2,48,42,25,8,4,39,31
"208",1,2,48,42,26,8,4,39,31
"209",8,2,28,22,1,9,4,30,37
"210",7,2,28,22,2,9,4,30,37
"211",6,2,30,23,3,9,4,30,37
"212",5,2,29,22,4,9,4,30,37
"213",4,2,33,25,5,9,4,30,37
"214",3,2,35,26,6,9,4,30,37
"215",2,2,37,27,7,9,4,30,37
"216",1,2,39,28,8,9,4,30,37
"217",1,3,25,20,9,9,4,30,37
"218",1,4,14,13,10,9,4,30,37
"219",1,1,51,36,11,9,4,30,37
"220",2,1,49,34,12,9,4,30,37
"221",3,1,46,33,13,9,4,30,37
"222",4,1,42,30,14,9,4,30,37
"223",5,1,40,29,15,9,4,30,37
"224",6,1,39,28,16,9,4,30,37
"225",7,1,39,28,17,9,4,30,37
"226",8,1,33,25,18,9,4,30,37
"227",1,1,51,36,19,9,4,30,37
"228",8,8,28,22,20,9,4,30,37
"229",1,1,51,36,21,9,4,30,37
"230",1,1,50,35,22,9,4,30,37
"231",1,1,51,36,23,9,4,30,37
"232",1,1,49,34,24,9,4,30,37
"233",1,1,50,35,25,9,4,30,37
"234",1,1,48,34,26,9,4,30,37
"235",7,5,29,22,1,10,4,30,28
"236",7,1,4,7,2,10,4,30,28
"237",8,1,13,13,3,10,4,30,28
"238",8,1,13,13,4,10,4,30,28
"239",7,2,9,10,5,10,4,30,28
"240",8,2,19,16,6,10,4,30,28
"241",7,3,16,15,7,10,4,30,28
"242",8,3,25,20,8,10,4,30,28
"243",7,4,22,18,9,10,4,30,28
"244",8,4,31,24,10,10,4,30,28
"245",8,5,38,28,11,10,4,30,28
"246",8,6,42,30,12,10,4,30,28
"247",8,6,42,30,13,10,4,30,28
"248",7,6,37,27,14,10,4,30,28
"249",7,7,43,31,15,10,4,30,28
"250",8,7,40,29,16,10,4,30,28
"251",7,8,44,31,17,10,4,30,28
"252",8,8,44,31,18,10,4,30,28
"253",7,7,43,31,19,10,4,30,28
"254",7,8,47,33,20,10,4,30,28
"255",8,8,43,31,21,10,4,30,28
"256",8,7,44,31,22,10,4,30,28
"257",7,6,36,27,23,10,4,30,28
"258",8,5,38,28,24,10,4,30,28
"259",7,5,29,22,25,10,4,30,28
"260",8,4,31,24,26,10,4,30,28
"261",1,2,21,22,1,11,4,40,9
"262",2,2,27,27,2,11,4,40,9
"263",3,2,35,33,3,11,4,40,9
"264",4,2,39,36,4,11,4,40,9
"265",5,2,42,39,5,11,4,40,9
"266",6,2,47,43,6,11,4,40,9
"267",7,2,44,40,7,11,4,40,9
"268",8,2,44,40,8,11,4,40,9
"269",1,2,20,21,9,11,4,40,9
"270",2,2,29,28,10,11,4,40,9
"271",3,2,33,31,11,11,4,40,9
"272",4,2,37,35,12,11,4,40,9
"273",5,2,43,39,13,11,4,40,9
"274",6,2,44,40,14,11,4,40,9
"275",7,2,46,42,15,11,4,40,9
"276",8,2,45,41,16,11,4,40,9
"277",1,2,19,20,17,11,4,40,9
"278",2,2,27,27,18,11,4,40,9
"279",3,2,33,31,19,11,4,40,9
"280",4,2,41,38,20,11,4,40,9
"281",5,2,44,40,21,11,4,40,9
"282",6,2,44,40,22,11,4,40,9
"283",6,2,46,42,23,11,4,40,9
"284",6,2,44,40,24,11,4,40,9
"285",6,2,44,40,25,11,4,40,9
"286",6,2,45,41,26,11,4,40,9
"287",7,5,39,31,1,12,4,33,33
"288",7,3,32,26,2,12,4,33,33
"289",7,1,23,20,3,12,4,33,33
"290",7,2,30,25,4,12,4,33,33
"291",7,4,36,29,5,12,4,33,33
"292",7,6,39,31,6,12,4,33,33
"293",7,7,44,34,7,12,4,33,33
"294",7,8,39,31,8,12,4,33,33
"295",6,8,38,30,9,12,4,33,33
"296",6,7,37,29,10,12,4,33,33
"297",6,6,37,29,11,12,4,33,33
"298",6,5,34,27,12,12,4,33,33
"299",6,4,31,25,13,12,4,33,33
"300",6,3,28,23,14,12,4,33,33
"301",6,2,22,20,15,12,4,33,33
"302",6,1,15,15,16,12,4,33,33
